SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20220516|C00948106|AGRI|12171|AGRIFORCE GROWING SYS LTD COM |1.67
20220516|D1668R123|DDAIF|673|MERCEDES BENZ GROUP AG COMMON |66.61
20220516|D18190898|DB|20906|DEUTSCHE BANK AG NAMEN AKT (DE|9.71
20220516|F21107101|CSTM|2|CONSTELLIUM SE CL A SHS USD (F|15.65
20220516|G0R21B104|ACTD|1|ARCLIGHT CLEAN TRANSITION CORP|9.87
20220516|G0R21B120|ACTDU|19068|ARCLIGHT CLEAN TRANS CORP II 1|10.11
20220516|G0R45S125|AIBBU|528|AIB ACQUISITION CORP|10.05
20220516|G0083D120|ACEV|852|ACE CONVERGENCE ACQUISITION CO|9.94
20220516|G0084W101|ADNT|215|ADIENT PLC ORD SHS (IRL)|31.77
20220516|G0085J117|ADSE|1854|ADS TEC ENERGY PLC|5.61
20220516|G01046112|IMPXWS|277|AEA-BRIDGES IMPACT CORP WT EXP|0.57
20220516|G01109126|AFTRWS|8770|AFTERNEXT HEALTHTECH ACQUISITI|0.27
20220516|G0112R108|AGAC|20660|AFRICAN GOLD ACQUISITION CORP |9.76
20220516|G0112R124|AGACWS|2574|AFRICAN GOLD ACQUISITION CORP |0.18
20220516|G01125106|AFYA|137|AFYA LTD CL A COM|11.63
20220516|G0120M125|AGBAR|1361|AGBA ACQUISITION LTD RT 05/10/|0.15
20220516|G01202111|AGGRW|100|AGILE GROWTH CORP WT EXP (CYM)|0.17
20220516|G0132V105|AGMH|6478|AGM GROUP HLDGS INC USD CL A O|1.89
20220516|G0135E100|AIMAU|14593|AIMFINITY INVT CORP I 1 CL A 1|9.91
20220516|G0230C124|ALSAU|24|ALPHA STAR ACQUISITION CORPORA|10.08
20220516|G02602103|DOX|2|AMDOCS LTD ORD|82.37
20220516|G0360L100|CYTO|1000|ALTAMIRA THERAPEUTICS LTD SHS |0.75
20220516|G0369L101|ANGH|4005|ANGHAMI INC SHS (CYM)|7.38
20220516|G0411R114|APSGWS|5300|APOLLO STRATEGIC GROWTH CAP WT|1.51
20220516|G04119122|PFDRW|274|PATHFINDER ACQUISITION CORP WT|0.21
20220516|G0447J102|POND|1|ANGEL POND HLDGS CORP CL A (CY|9.85
20220516|G0450A105|ACGL|452|ARCH CAPITAL GROUP LTD|46.02
20220516|G04553106|ARCE|5497|ARCO PLATFORM LTD CL A COM (CY|15.83
20220516|G0464B107|ARGO|45|ARGO GROUP INTERNATIONAL HOLDI|41.37
20220516|G0509L102|ARTA|500|ARTISAN ACQUISITION CORP CL A |10.36
20220516|G0509L128|ARTAW|90|ARTISAN ACQUISITION CORP WT EX|0.36
20220516|G05384154|AHLPRC|489|ASPEN INSURANCE HLDGS LTD FXD/|23.47
20220516|G05384162|AHLPRD|833|ASPEN INSURANCE HOLDINGS LIMIT|21.90
20220516|G05384204|AHLPRE|1240|ASPEN INSURANCE HOLD LIM DEP S|21.50
20220516|G0542N123|RAMMW|3|ARIES I ACQUISITION CORP WT EX|0.31
20220516|G0542S106|ASCA|5834|A SPAC I ACQUISITION CORP. USD|9.88
20220516|G0567U101|ARQQ|3133|ARQIT QUANTUM INC COM (CYM)|6.65
20220516|G0602B209|ATIF|271|ATIF HLDGS LTD USD ORD SHS NEW|2.30
20220516|G06242104|TEAM|1002|ATLASSIAN CORP PLC CLA (GBR)|188.90
20220516|G0625A105|ATC|62810|ATOTECH LTD COM JEY|21.20
20220516|G06536109|WAVC|9344|WAVERLEY CAP ACQUISITION CORP |9.66
20220516|G06536117|WAVCWS|5976|WAVERLEY CAP ACQUISITION CORP |0.28
20220516|G0682V125|AVANWS|145|AVANTI ACQUISITION CORP RED WT|0.23
20220516|G0684D305|ATHPRA|1696|ATHENE HLDG LTD DEP SHS REPSTG|24.37
20220516|G0698L103|AURC|500|AURORA ACQUISITION CORP CL A (|9.81
20220516|G0703K116|AXACWS|134|AXIOS SUSTAINABLE GROWTH ACQUI|0.10
20220516|G07031100|BBLN|1877629|BABYLON HLDGS LTD CL A SHS (JE|1.16
20220516|G07031118|BBLNWS|5|BABYLON HLDGS LTD WT EXP|0.28
20220516|G0888J108|BFAC|1970|BATTERY FUTURE ACQUISITION COR|9.89
20220516|G0888J124|BFACWS|302|BATTERY FUTURE ACQUISITION COR|0.23
20220516|G08908108|BAOS|114402|BAOSHENG MEDIA GROUP HLDGS LTD|0.44
20220516|G10830100|BYSI|113|BEYONDSPRING INC ORD SHS (CYM)|1.25
20220516|G1117K114|BIOX|2772|BIOCERES CROP SOLUTIONS CORP. |13.13
20220516|G11196105|BHVN|722|BIOHAVEN PHARMACEUTICAL HLDG C|141.00
20220516|G11217125|BIOSW|444|BIOPLUS ACQUISITION CORP WT EX|0.13
20220516|G1125A108|BIOT|700|BIOTECH ACQUISITION CO USD CL |9.94
20220516|G1144A105|BTBT|87228|BIT DIGITAL, INC. ORDINARY SHA|1.72
20220516|G1151C101|ACN|10350|ACCENTURE PLC CL-A ORDINARY SH|286.77
20220516|G11728113|BLEUW|10|BLEUACACIA LTD WT EXP (CYM)|0.25
20220516|G1263E102|BWAQ|10500|BLUE WORLD ACQUISITION CORP US|9.87
20220516|G1263E128|BWAQU|135|BLUE WORLD ACQ CORP|10.02
20220516|G1329V106|BHAT|437|BLUE HAT INTERACTIVE ENTMT TEC|0.24
20220516|G1355U113|BTWN|2000|BRIDGETOWN HLDGS LTD CL A SHS |9.86
20220516|G14492105|BON|417|BON NAT LIFE LTD USD ORD SHS (|5.07
20220516|G1466B103|BRQS|1756285|BORQS TECHNOLOGIES INC SHS (VG|0.16
20220516|G14838109|MIME|16|MIMECAST LTD ORD SHS (GBR)|79.75
20220516|G16234109|BBU|127|BROOKFIELD BUSINESS PARTNERS L|23.38
20220516|G16249149|BPYPP|98|BROOKFIELD PPTY PARTNERS LP PF|21.18
20220516|G16252101|BIP|10|BROOKFIELD INFRASTRUCTURE PART|59.58
20220516|G16252275|BIPPRB|2546|BROOKFIELD INFRASTRUCTURE PART|17.65
20220516|G16258108|BEP|750|BROOKFIELD RENEWABLE PARTNERS |34.15
20220516|G1757E113|CMCL|1558|CALEDONIA MNG CORP PLC SHS NEW|12.79
20220516|G17977110|BUR|183|BURFORD CAPITAL LIMITED, ST PE|7.67
20220516|G19276115|GLBLW|1141|CARTESIAN GROWTH CORP WT EXP (|0.43
20220516|G19550121|CPARW|100|CATALYST PARTNERS ACQUISITION |0.31
20220516|G1992N126|PRPCWS|312|CC NEUBERGER PRIN HLDGS III WT|0.41
20220516|G2007L105|CZOO|1679762|CAZOO GROUP LTD CL A (CYM)|1.46
20220516|G2110U109|CHNR|691|CHINA NATURAL RESOURCES, INC|0.70
20220516|G2124G112|CJJD|3757|CHINA JOJO DRUGSTORES INC COM |1.87
20220516|G21307106|CINT|4886|CI&T INC COM CL A (CYM)|13.93
20220516|G2161Y109|CLEU|635|CHINA LIBERAL ED HLDGS LTD|2.88
20220516|G21621100|BTOG|7715|CHINA XIANGTAI FOOD CO LTD ORD|0.77
20220516|G2254A125|CHWAW|167|CHW ACQ CORP USD WTS TO PUR ON|0.36
20220516|G2311X126|CLRCU|705|CLIMATEROCK 1 CL A F $0.0001 P|9.95
20220516|G23726105|CRHC|1|COHN ROBBINS HLDGS CORP CL A (|9.90
20220516|G23773107|CWCO|829|CONSOLIDATED WATER CO., INC.|11.43
20220516|G2425N113|COOLW|256|CORNER GROWTH ACQUISITION CORP|0.11
20220516|G2426E104|TRON|1300|CORNER GROWTH ACQUISITION CORP|9.97
20220516|G2476C123|CDAQW|100|COMPASS DIGITAL ACQUISITION CO|0.25
20220516|G25457105|CRDO|354|CREDO TECHNOLOGY GROUP HLDG LT|10.13
20220516|G2554Y120|COVAW|20|COVA ACQUISITION CORP WT EXP(C|0.11
20220516|G25741110|CPTKWS|365|CROWN PROPTECH ACQUISITIONS WT|0.24
20220516|G25839104|CCEP|33|COCA-COLA EUROPACIFIC PARTNERS|52.25
20220516|G26507114|CRECW|295|CRESCERA CAP ACQUISITION CORP |0.22
20220516|G2717B108|CWK|714|CUSHMAN & WAKEFIELD PLC SH (GB|18.20
20220516|G2773W103|DCRD|9999|DECARBONIZATION PLUS ACQ CORP |9.90
20220516|G2788T103|DOGZ|100|DOGNESS INTL CORP CL A COM (VG|4.31
20220516|G27907107|DOLE|9279|DOLE PLC SHS (IRL)|11.30
20220516|G28553116|DSACW|2485|DUDDELL STR ACQUISITION CORP|0.72
20220516|G28923103|DSEY|5519|DIVERSEY HLDGS LTD ORD SHS (CY|8.94
20220516|G29018101|DLO|100|DLOCAL LTD COM CL A (CYM)|20.77
20220516|G2911D108|ESSC|2573|EAST STONE ACQUISITION CORP US|10.50
20220516|G2911D116|ESSCW|3193|EAST STONE ACQUISITION CORP|0.23
20220516|G2911D132|ESSCR|46|EAST STONE ACQUISITION CORP RI|0.30
20220516|G29183103|ETN|13670|EATON CORP PLC (IRL)|141.33
20220516|G2955B109|EJFA|205|EJF ACQUISITION CORP CL A COM |9.85
20220516|G2956R129|LAXXR|200|8I ACQUISITION 2 CORP.USD RTS |0.30
20220516|G3R19A104|FTEV|321|FINTECH EVOLUTION ACQUISITION |9.79
20220516|G3R19A120|FTEVWS|669|FINTECH EVOLUTION ACQUISITION |0.13
20220516|G3R25D100|HTOOW|128|FUSION FUEL GREEN LTD WT EXP|1.70
20220516|G3R25D118|HTOO|644|FUSION FUEL GREEN LTD SHS CL A|7.00
20220516|G3R33A106|EBON|22098|EBANG INTL HLDGS INC|0.74
20220516|G3R95N111|ESACW|1031|ESGEN ACQ.CORP RED WT EXP (CYM|0.20
20220516|G3033X113|HORIU|636|EMERGING MKTS HORIZON CORP UNI|10.05
20220516|G3156P103|ASA|600|ASA GOLD AND PRECIOUS METALS L|17.92
