SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20220401|B38564108|EURN|2667|EURONAV NV ANTWERPEN (BELGIUM)|10.57
20220401|C00948106|AGRI|23277|AGRIFORCE GROWING SYS LTD COM |3.08
20220401|C96657116|VMAR|1708|VISION MARINE TECHNOLOGIES INC|6.46
20220401|G0R21B104|ACTD|54|ARCLIGHT CLEAN TRANSITION CORP|9.92
20220401|G0R45S117|AIBBR|200|AIB ACQUISITION CORP USD RTS|0.14
20220401|G0083D120|ACEV|1|ACE CONVERGENCE ACQUISITION CO|10.05
20220401|G0083E102|ACBA|91|ACE GLOBAL BUSINESS ACQUISITIO|10.21
20220401|G0085J117|ADSE|1850|ADS TEC ENERGY PLC|8.62
20220401|G01046104|IMPX|42|AEA-BRIDGES IMPACT CORP CL A (|9.90
20220401|G01109100|AFTR|3814|AFTERNEXT HEALTHTECH ACQUISITI|9.68
20220401|G01109126|AFTRWS|3118|AFTERNEXT HEALTHTECH ACQUISITI|0.42
20220401|G0112R108|AGAC|1|AFRICAN GOLD ACQUISITION CORP |9.81
20220401|G0112R116|AGACU|15|AFRICAN GOLD ACQUISITION CORP |9.99
20220401|G0120M117|AGBAW|81|AGBA ACQUISITION LTD WT EXP 05|0.16
20220401|G01202103|AGGR|123|AGILE GROWTH CORP CL A (CYM)|9.75
20220401|G0132V105|AGMH|6040|AGM GROUP HLDGS INC USD CL A O|2.08
20220401|G0176J109|ALLE|6|ALLEGION PUB LTD CO (IRL)|109.78
20220401|G0230C116|ALSAW|1765|ALPHA STAR ACQUISITION CORP US|0.08
20220401|G02602103|DOX|3037|AMDOCS LTD ORD|82.21
20220401|G0316P122|ASPCW|110|ALPHA CAP ACQUISITION CO WT EX|0.58
20220401|G0316P130|ASPC|1|ALPHA CAP ACQUISITION CO CL A |9.90
20220401|G0360L100|CYTO|4629|ALTAMIRA THERAPEUTICS LTD SHS |1.10
20220401|G0369L101|ANGH|4265|ANGHAMI INC SHS (CYM)|8.77
20220401|G0369L119|ANGHW|4122|ANGHAMI INC WT EXP (CYM)|0.59
20220401|G03959122|ADALU|1370|ANTHEMIS DIGITAL ACQ I CORP UN|10.07
20220401|G0404A110|ATAWS|125|AMERICAS TECHNOLOGY ACQUISIT C|0.11
