SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20220502|B38564108|EURN|2656|EURONAV NV ANTWERPEN (BELGIUM)|11.83
20220502|C96657116|VMAR|170|VISION MARINE TECHNOLOGIES INC|4.40
20220502|D1668R123|DDAIF|15923|MERCEDES BENZ GROUP AG COMMON |69.15
20220502|D18190898|DB|5932|DEUTSCHE BANK AG NAMEN AKT (DE|9.88
20220502|G0R21B104|ACTD|1|ARCLIGHT CLEAN TRANSITION CORP|9.93
20220502|G0R21B112|ACTDW|1|ARCLIGHT CLEAN TRANSITION CORP|1.68
20220502|G0R45S117|AIBBR|25000|AIB ACQUISITION CORP USD RTS|0.13
20220502|G0R45S125|AIBBU|936|AIB ACQUISITION CORP|10.11
20220502|G0083D104|ACEVW|6417|ACE CONVERGENCE ACQUISITION CO|0.67
20220502|G0083E110|ACBAW|620|ACE GLOBAL BUSINESS ACQSTN LTD|0.08
20220502|G0085J117|ADSE|998|ADS TEC ENERGY PLC|6.78
20220502|G01046104|IMPX|55619|AEA-BRIDGES IMPACT CORP CL A (|9.92
20220502|G0112R108|AGAC|1351|AFRICAN GOLD ACQUISITION CORP |9.81
20220502|G0112R124|AGACWS|406|AFRICAN GOLD ACQUISITION CORP |0.18
20220502|G0120M117|AGBAW|531|AGBA ACQUISITION LTD WT EXP 05|0.07
20220502|G0132V105|AGMH|4902|AGM GROUP HLDGS INC USD CL A O|2.08
20220502|G01322109|AHRN|795|AHREN ACQUISITION CORP ORD SHS|9.97
20220502|G01322125|AHRNW|1000|AHREN ACQUISITION CORP WT EXP |0.27
20220502|G0135E100|AIMAU|3000|AIMFINITY INVT CORP I 1 CL A 1|9.97
20220502|G0176J109|ALLE|69|ALLEGION PUB LTD CO (IRL)|114.24
20220502|G01767105|ALKS|399|ALKERMES PLC ORDINARY SHS (IRE|28.85
20220502|G0230C132|ALSAR|900|ALPHA STAR ACQUISITION CORP US|0.21
20220502|G0231L123|ALORW|400|ALSP ORCHID ACQUISITION CORP I|0.26
20220502|G0316P122|ASPCW|165|ALPHA CAP ACQUISITION CO WT EX|0.54
20220502|G0369L101|ANGH|1077|ANGHAMI INC SHS (CYM)|8.63
20220502|G0369L119|ANGHW|1|ANGHAMI INC WT EXP (CYM)|0.48
20220502|G037AX101|AMBA|48|AMBARELLA, INC ORD SHS|82.08
20220502|G0403H108|AON|237|AON PLC ORD SHS CL A NEW (IRL)|287.99
20220502|G0411R106|APSG|15946|APOLLO STRATEGIC GROWTH CAP SH|9.99
20220502|G0411R114|APSGWS|11522|APOLLO STRATEGIC GROWTH CAP WT|1.66
20220502|G0450A105|ACGL|199|ARCH CAPITAL GROUP LTD|45.67
20220502|G04553106|ARCE|14429|ARCO PLATFORM LTD CL A COM (CY|19.88
20220502|G0509L102|ARTA|7955|ARTISAN ACQUISITION CORP CL A |9.98
20220502|G05157113|ACDIWS|2200|ASCENDANT DIGITAL ACQUISTION C|0.40
20220502|G0535E106|APWC|1003|ASIA PACIFIC WIRE & CABLE CORP|1.41
20220502|G05384204|AHLPRE|1129|ASPEN INSURANCE HOLD LIM DEP S|23.15
20220502|G0542N123|RAMMW|417|ARIES I ACQUISITION CORP WT EX|0.31
20220502|G0542S106|ASCA|1700|A SPAC I ACQUISITION CORP. USD|9.93
20220502|G0542S122|ASCAU|150|A SPAC I ACQ CORP USD UNITS CO|10.15
20220502|G0567U101|ARQQ|5995|ARQIT QUANTUM INC COM (CYM)|8.08
20220502|G0567U119|ARQQW|2804|ARQIT QUANTUM INC WT EXP 11/02|1.60
20220502|G0633D109|AUS|1|AUSTERLITZ ACQUISITION CORP I |9.81
20220502|G0633U101|ASZ|1|AUSTERLITZ ACQUISITION CORP II|9.80
20220502|G0682V125|AVANWS|81|AVANTI ACQUISITION CORP RED WT|0.32
20220502|G0684D305|ATHPRA|854|ATHENE HLDG LTD DEP SHS REPSTG|25.45
20220502|G0692U109|AXS|1|AXIS CAPITAL HOLDINGS LTD|57.33
20220502|G07031118|BBLNWS|558|BABYLON HLDGS LTD WT EXP|0.30
20220502|G0750C108|AXTA|1437|AXALTA COATING SYS LTD COM SHS|25.37
20220502|G0772R208|NTB|1361|BANK OF NT BUTTERFIELD & SON|32.03
20220502|G08908108|BAOS|13734|BAOSHENG MEDIA GROUP HLDGS LTD|0.53
20220502|G10830100|BYSI|5702|BEYONDSPRING INC ORD SHS (CYM)|1.52
20220502|G1117K114|BIOX|170|BIOCERES CROP SOLUTIONS CORP. |14.60
20220502|G11217117|BIOS|1793|BIOPLUS ACQUISITION CORP CL A |9.96
20220502|G11217125|BIOSW|568|BIOPLUS ACQUISITION CORP WT EX|0.20
20220502|G1144A105|BTBT|103782|BIT DIGITAL, INC. ORDINARY SHA|2.03
20220502|G11728113|BLEUW|394|BLEUACACIA LTD WT EXP (CYM)|0.29
20220502|G1195R130|BSGAR|8|BLUE SAFARI GROUP ACQUISITION |0.23
20220502|G1330L105|BOCN|14978|BLUE OCEAN ACQUISITION CORP CL|9.92
20220502|G1330L121|BOCNW|787|BLUE OCEAN ACQUISITION CORP WT|0.27
20220502|G1330M129|BWCAW|249500|BLUE WHALE ACQUISITION CORP I |0.50
20220502|G14492105|BON|5683|BON NAT LIFE LTD USD ORD SHS (|5.15
20220502|G1466B103|BRQS|62440|BORQS TECHNOLOGIES INC SHS (VG|0.34
20220502|G1466R173|BORR|41|BORR DRILLING LTD SHS NEW DEC |3.87
20220502|G14838109|MIME|55|MIMECAST LTD ORD SHS (GBR)|79.68
20220502|G16249149|BPYPP|75|BROOKFIELD PPTY PARTNERS LP PF|21.94
20220502|G16249156|BPYPO|3004|BROOKFIELD PPTY PART P|21.09
20220502|G16249164|BPYPN|1930|BROOKFIELD PPTY PARTNERS L P C|19.75
20220502|G16252101|BIP|700|BROOKFIELD INFRASTRUCTURE PART|62.43
20220502|G16252275|BIPPRB|465|BROOKFIELD INFRASTRUCTURE PART|18.93
20220502|G16258108|BEP|111|BROOKFIELD RENEWABLE PARTNERS |35.20
20220502|G1686P106|BHSE|498|BULL HORN HLDGS CORP USD ORD S|10.10
20220502|G16962105|BG|25|BUNGE LIMITED|113.12
20220502|G1745A116|CCTSU|51|CACTUS ACQ 1 LTD US UT CON 1|10.14
20220502|G1757E113|CMCL|202|CALEDONIA MNG CORP PLC SHS NEW|14.01
20220502|G17977110|BUR|9361|BURFORD CAPITAL LIMITED, ST PE|8.46
20220502|G1899E146|CUPUF|310|CARIBBEAN UTILITIES LTD CL-A|15.00
20220502|G19276115|GLBLW|195|CARTESIAN GROWTH CORP WT EXP (|0.55
20220502|G19550105|CPAR|500|CATALYST PARTNERS ACQUISITION |9.79
20220502|G1992N100|PRPC|38132|CC NEUBERGER PRIN HLDGS III CL|9.83
20220502|G1992N118|PRPCU|100|CC NEUBERGER PRIN HLDGS III UN|9.93
20220502|G1995D125|CITEU|292|CARTICA ACQ.CORP USD 1 CL A SH|10.19
20220502|G2007L113|CZOOWS|250|CAZOO GROUP LTD WT EXP 08/26/2|0.22
20220502|G2058L111|CLAYW|369|CHAVANT CAP ACQUISITION CORP R|0.14
20220502|G2061X110|CBRGW|25|CHAIN BRDG I RED WT EXP (CYM) |0.30
20220502|G2086M115|CHEAU|402387|CHENGHE ACQUISITION CO UNIT 1 |10.08
20220502|G2124G112|CJJD|671|CHINA JOJO DRUGSTORES INC COM |1.94
20220502|G21307106|CINT|1|CI&T INC COM CL A (CYM)|12.71
20220502|G21621100|BTOG|10212|CHINA XIANGTAI FOOD CO LTD ORD|1.05
20220502|G21810109|CLVT|5|CLARIVATE PLC|15.68
20220502|G21810208|CLVTPRA|90|CLARIVATE PLC PFD CONV SER A(J|64.53
20220502|G2254A125|CHWAW|2268|CHW ACQ CORP USD WTS TO PUR ON|0.32
20220502|G2263T107|MITAW|500|COLISEUM ACQUISITION CORP WT E|0.28
20220502|G2263T123|MITA|2|COLISEUM ACQUISITION CORP CL A|9.78
20220502|G2284B119|CLAAWS|25|COLONNADE ACQUISITION CORP II |0.49
20220502|G2311X126|CLRCU|500|CLIMATEROCK 1 CL A F $0.0001 P|10.06
20220502|G23773107|CWCO|59|CONSOLIDATED WATER CO., INC.|10.88
20220502|G24237102|CRZN|300|CORAZON CAP V838 MONOCEROS COR|9.79
20220502|G2476C123|CDAQW|1984|COMPASS DIGITAL ACQUISITION CO|0.40
20220502|G2542B117|CPAQ|300|COUNTER PRESS ACQUISITION CORP|9.99
20220502|G2554Y104|COVA|11|COVA ACQUISITION CORP CL A ORD|9.83
20220502|G26507114|CRECW|285|CRESCERA CAP ACQUISITION CORP |0.30
20220502|G2758T109|DHCA|20|DHC ACQUISITION CORP CL A (CYM|9.79
20220502|G2788T103|DOGZ|70877|DOGNESS INTL CORP CL A COM (VG|4.65
20220502|G27907107|DOLE|78830|DOLE PLC SHS (IRL)|11.91
20220502|G28923103|DSEY|1473|DIVERSEY HLDGS LTD ORD SHS (CY|7.74
20220502|G2911D108|ESSC|2521|EAST STONE ACQUISITION CORP US|10.68
20220502|G29183103|ETN|2791|EATON CORP PLC (IRL)|145.02
20220502|G2955B109|EJFA|1|EJF ACQUISITION CORP CL A COM |9.87
20220502|G2956R103|LAX|100|8I ACQUISITION 2 CORP.USD ORD |9.88
20220502|G2956R129|LAXXR|557|8I ACQUISITION 2 CORP.USD RTS |0.26
20220502|G3R19A120|FTEVWS|1070|FINTECH EVOLUTION ACQUISITION |0.25
20220502|G3R23A116|GLTAWS|779|GALATA ACQUISITION CORP WT EXP|0.23
20220502|G3R239101|GAMB|98|GAMBLING COM GROUP LTD ORD NPV|8.28
20220502|G3R25D100|HTOOW|51|FUSION FUEL GREEN LTD WT EXP|2.37
20220502|G3R25D118|HTOO|63|FUSION FUEL GREEN LTD SHS CL A|8.17
20220502|G3R33A106|EBON|8507|EBANG INTL HLDGS INC|0.93
20220502|G30092111|EOCWWS|955343|ELLIOTT OPPORTUNITY II CORP WT|0.51
20220502|G30401106|ENDP|261|ENDO INTL PLC ORD SHS (IRL)|2.00
20220502|G3104J100|EEIQ|154|ELITE ED GROUP INTL LTD USD CO|1.81
20220502|G3156P103|ASA|2185|ASA GOLD AND PRECIOUS METALS L|20.56
20220502|G3223R108|RE|404|EVEREST RE GP LTD(BERM)HLDG CO|274.71
20220502|G3302D103|FGI|251|FGI INDS LTD SHS (CYM)|2.35
20220502|G3312L103|FPAC|370|FAR PEAK ACQUISITION CORP CL A|9.87
20220502|G33277107|FAMI|234180|FARMMI INC ORDINARY SHARES (CY|0.12
20220502|G3421J106|FERG|8821|FERGUSON PLC NEW (JERSEY, C.I.|124.71
20220502|G35006108|ALAC|24759|ALBERTON ACQCORP USD ORD SHS|12.02
20220502|G35006124|ALACW|400|ALBERTON ACQUISITION CORP WT 0|.
20220502|G35006132|ALACR|124983|ALBERTON ACQU CORP RTS PUR 1/1|0.04
20220502|G35947202|FLNG|3415|FLEX LNG LTD SHS NEW|28.10
20220502|G3619H110|FRBNW|40|FORBION EUROPEAN ACQUISITION C|0.40
20220502|G36738105|FDP|38|FRESH DEL MONTE PRODUCE(ORD)|26.05
20220502|G36816125|FICVW|1125|FRONTIER INVT CORP WT EXP (CYM|0.17
20220502|G3682E192|FRO|21034|FRONTLINE LTD (BMU)|8.33
20220502|G3704F110|FFHL|91|FUWEI FILMS HOLDINGS CO LTD SH|6.27
20220502|G3728V109|GAN|1779|GAN LTD SHS|3.73
20220502|G3728Y111|HERAW|596980|FTAC HERA ACQUISITION CORP WT |0.35
20220502|G37283119|FTAAW|351562|FTAC ATHENA ACQUISITION CORP W|0.41
