SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20220301|B38564108|EURN|300373|EURONAV NV ANTWERPEN (BELGIUM)|11.28
20220301|C00948106|AGRI|3601|AGRIFORCE GROWING SYS LTD COM |1.48
20220301|D18190898|DB|35535|DEUTSCHE BANK AG NAMEN AKT (DE|12.43
20220301|F21107101|CSTM|4912|CONSTELLIUM SE CL A SHS USD (F|19.43
20220301|G0R21B112|ACTDW|188|ARCLIGHT CLEAN TRANSITION CORP|1.45
20220301|G0R45S109|AIB|14342|AIB ACQUISITION CORP USD CL A |9.87
20220301|G0R45S117|AIBBR|48315|AIB ACQUISITION CORP USD RTS|0.16
20220301|G0083D104|ACEVW|746|ACE CONVERGENCE ACQUISITION CO|0.47
20220301|G0084W101|ADNT|1|ADIENT PLC ORD SHS (IRL)|44.75
20220301|G0085J109|ADSEW|1595|ADS TEC ENERGY PLC WTS TO SUBS|1.17
20220301|G0085J117|ADSE|15724|ADS TEC ENERGY PLC|8.48
20220301|G01046104|IMPX|4468|AEA-BRIDGES IMPACT CORP CL A (|9.91
20220301|G01046112|IMPXWS|1145|AEA-BRIDGES IMPACT CORP WT EXP|0.85
20220301|G01109118|AFTRU|125|AFTERNEXT HEALTHTECH ACQ CORP |9.77
20220301|G01109126|AFTRWS|83|AFTERNEXT HEALTHTECH ACQUISITI|0.53
20220301|G0120M125|AGBAR|972|AGBA ACQUISITION LTD RT 05/10/|0.25
20220301|G01202103|AGGR|1|AGILE GROWTH CORP CL A (CYM)|9.70
20220301|G02602103|DOX|590|AMDOCS LTD ORD|78.70
20220301|G0369L101|ANGH|56548|ANGHAMI INC SHS (CYM)|17.08
20220301|G0404A110|ATAWS|1417|AMERICAS TECHNOLOGY ACQUISIT C|0.12
20220301|G041JN106|AEHL|5087|ANTELOPE ENTERPRISE HLDGS LTD |1.13
20220301|G0411R114|APSGWS|2637|APOLLO STRATEGIC GROWTH CAP WT|0.99
20220301|G0450A105|ACGL|526|ARCH CAPITAL GROUP LTD|47.11
20220301|G04553106|ARCE|3607|ARCO PLATFORM LTD CL A COM (CY|19.32
20220301|G0457F107|ARCO|6|ARCOS DORADOS HOLDINGDS INC. C|7.73
20220301|G0509L128|ARTAW|1464|ARTISAN ACQUISITION CORP WT EX|0.46
20220301|G05384154|AHLPRC|291|ASPEN INSURANCE HLDGS LTD FXD/|25.63
20220301|G05384204|AHLPRE|971|ASPEN INSURANCE HOLD LIM DEP S|23.44
20220301|G0542N123|RAMMW|2294|ARIES I ACQUISITION CORP WT EX|0.37
20220301|G0567U101|ARQQ|309646|ARQIT QUANTUM INC COM (CYM)|15.95
20220301|G0567U119|ARQQW|442|ARQIT QUANTUM INC WT EXP 11/02|4.50
20220301|G06242104|TEAM|2|ATLASSIAN CORP PLC CLA (GBR)|305.72
20220301|G0633U101|ASZ|2492|AUSTERLITZ ACQUISITION CORP II|9.75
20220301|G0633U127|ASZWS|207|AUSTERLITZ ACQUISITION CORP II|0.52
20220301|G06536109|WAVC|100|WAVERLEY CAP ACQUISITION CORP |9.63
20220301|G06536117|WAVCWS|100|WAVERLEY CAP ACQUISITION CORP |0.60
20220301|G0684D305|ATHPRA|2690|ATHENE HLDG LTD DEP SHS REPSTG|27.10
20220301|G0698L103|AURC|26|AURORA ACQUISITION CORP CL A (|9.90
