SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20220201|B38564108|EURN|9459|EURONAV NV ANTWERPEN (BELGIUM)|8.32
20220201|C00948106|AGRI|23724|AGRIFORCE GROWING SYS LTD COM |1.38
20220201|D18190898|DB|99473|DEUTSCHE BANK AG NAMEN AKT (DE|13.89
20220201|G0R21B112|ACTDW|872|ARCLIGHT CLEAN TRANSITION CORP|1.30
20220201|G0R21B120|ACTDU|638|ARCLIGHT CLEAN TRANS CORP II 1|10.10
20220201|G0083D120|ACEV|31676|ACE CONVERGENCE ACQUISITION CO|9.96
20220201|G0083E102|ACBA|44|ACE GLOBAL BUSINESS ACQUISITIO|10.12
20220201|G0085J117|ADSE|14446|ADS TEC ENERGY PLC|8.81
20220201|G01046112|IMPXWS|4270|AEA-BRIDGES IMPACT CORP WT EXP|0.68
20220201|G0120M125|AGBAR|6|AGBA ACQUISITION LTD RT 05/10/|0.19
20220201|G0132V105|AGMH|10587|AGM GROUP HLDGS INC USD CL A O|1.82
20220201|G01767105|ALKS|46|ALKERMES PLC ORDINARY SHS (IRE|25.50
20220201|G0230C108|ALSA|1598|ALPHA STAR ACQUISITION CORP US|9.82
20220201|G0231L107|ALOR|3660|ALSP ORCHID ACQUISITION CORP I|9.95
20220201|G0231L123|ALORW|602|ALSP ORCHID ACQUISITION CORP I|0.35
20220201|G0250X107|AMCR|173426|AMCOR PLC ORD USD0.01 (JEY)|12.01
20220201|G0360L100|CYTO|3321|ALTAMIRA THERAPEUTICS LTD SHS |1.30
20220201|G0404A110|ATAWS|2260|AMERICAS TECHNOLOGY ACQUISIT C|0.31
20220201|G0411R106|APSG|2000|APOLLO STRATEGIC GROWTH CAP SH|9.89
20220201|G0411R114|APSGWS|4038|APOLLO STRATEGIC GROWTH CAP WT|0.96
20220201|G04119122|PFDRW|546|PATHFINDER ACQUISITION CORP WT|0.49
20220201|G0412A128|APGBWS|679|APOLLO STRATEGIC GROWTH CAP II|0.66
